Equacao;Ano;sigla
((((AG002_AA + AG002)/(2)) + ((ES002_AA + ES002)/(2)))/(((FN026_AA + FN026)/(2)) + ((FN014*(FN026_AA + FN026)/(2))/(FN010))));2013;IN102
((((AG002_AA + AG002)/(2)) + ((ES002_AA + ES002)/(2)))/(((FN026_AA + FN026)/(2)) + ((FN014*(FN026_AA + FN026)/(2))/(FN010))));2017;IN102
((((AG002_AA + AG002)/(2)) + ((ES002_AA + ES002)/(2)))/(((FN026_AA + FN026)/(2)) + ((FN014*(FN026_AA + FN026)/(2))/(FN010))));2016;IN102
((AG006 - AG018 - AG024)-AG010);2016;IN999
((AG006 - AG018 - AG024)-AG010);2015;IN999
((AG006 - AG018 - AG024)-AG010);2014;IN999
((AG006 - AG018 - AG024)-AG010);2017;IN999
D_AP02/D_AP01;2016;IN_AP01
D_AP02/D_AP01;2015;IN_AP01
D_AP02/D_AP01;2017;IN_AP01
D_AP04/D_AP03;2015;IN_AP02
D_AP04/D_AP03;2017;IN_AP02
D_AP04/D_AP03;2016;IN_AP02
D_LIG02/D_LIG01;2017;IN_LIG01
D_LIG02/D_LIG01;2015;IN_LIG01
D_LIG02/D_LIG01;2016;IN_LIG01
((D_LIG04/D_LIG01)*100);2016;IN_LIG02
((D_LIG04/D_LIG01)*100);2017;IN_LIG02
((D_LIG04/D_LIG01)*100);2015;IN_LIG02
D_SUP02/D_SUP01;2017;IN_SUP01
D_SUP02/D_SUP01;2015;IN_SUP01
D_SUP02/D_SUP01;2016;IN_SUP01
D_SUP04/D_SUP03;2015;IN_SUP02
D_SUP04/D_SUP03;2017;IN_SUP02
D_SUP04/D_SUP03;2016;IN_SUP02
